device,control_id,title,severity,status,finding,owner,ticket,due_date
domain_config_01,control_00006,SSH,High,FAIL,IP domain-name is not configured.,,,
domain_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
domain_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
domain_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
domain_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
domain_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
emergency_user_config_01,control_00005,Local and emergency users,High,FAIL,No local emergency user with 'algorithm-type scrypt' found.,,,
emergency_user_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
emergency_user_config_02,control_00005,Local and emergency users,High,FAIL,"Emergency user 'admin_bckp': privilege level is '7', expected 15.",,,
emergency_user_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
emergency_user_config_03,control_00005,Local and emergency users,High,FAIL,No local emergency user with 'algorithm-type scrypt' found.,,,
emergency_user_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
emergency_user_config_04,control_00005,Local and emergency users,High,FAIL,Emergency user name 'admin_bkup' does not match the corporate standard 'admin_bckp'.,,,
emergency_user_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
emergency_user_config_05,control_00005,Local and emergency users,High,FAIL,No local emergency user with 'algorithm-type scrypt' found.,,,
emergency_user_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
hostname_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
hostname_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
hostname_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
hostname_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
hostname_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
local_admin_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
local_admin_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
local_admin_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
local_admin_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
local_admin_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
ntp_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
ntp_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
ntp_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
ntp_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
ntp_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
password_encryption_config_01,control_00007,Global password encryption,High,FAIL,'key config-key password-encrypt <device_master_key>' is missing.; 'password encryption aes' is missing.,,,
password_encryption_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
password_encryption_config_02,control_00007,Global password encryption,High,FAIL,'key config-key password-encrypt <device_master_key>' is missing.,,,
password_encryption_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
password_encryption_config_03,control_00007,Global password encryption,High,FAIL,'password encryption aes' is missing.,,,
password_encryption_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
password_encryption_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
password_encryption_config_05,control_00007,Global password encryption,High,FAIL,'key config-key password-encrypt <device_master_key>' is missing.,,,
password_encryption_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
password_policy_config_01,control_00013,Passwords,High,FAIL,'security passwords min-length' is not configured.; 'service password-encryption' is missing.,,,
password_policy_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
password_policy_config_02,control_00013,Passwords,High,FAIL,"'security passwords min-length' is set to 4, below the required minimum of 10.",,,
password_policy_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
password_policy_config_03,control_00013,Passwords,High,FAIL,"'security passwords min-length' is set to 9, below the required minimum of 10.",,,
password_policy_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
password_policy_config_04,control_00013,Passwords,High,FAIL,'security passwords min-length' is not configured.,,,
password_policy_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
password_policy_config_05,control_00013,Passwords,High,FAIL,'security passwords min-length' is not configured.,,,
password_policy_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
snmp_config_01,control_00011,SNMP,High,FAIL,SNMPv3 group with 'priv' is not configured.; SNMPv3 user is not created with SHA/AES configuration.; SNMP trap host is missing.; 'snmp-server enable traps' command is missing.; An SNMPv1/v2c community string ('snmp-server community') coexists with the SNMPv3 configuration.,,,
snmp_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
snmp_config_02,control_00011,SNMP,High,FAIL,'snmp-server enable traps' command is missing.,,,
snmp_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
snmp_config_03,control_00011,SNMP,High,FAIL,SNMPv3 group with 'priv' is not configured.,,,
snmp_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
snmp_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
snmp_config_05,control_00011,SNMP,High,FAIL,SNMPv3 user is not created with SHA/AES configuration.,,,
snmp_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
ssh_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
ssh_config_02,control_00006,SSH,High,FAIL,"'ip ssh version' is set to '1', expected '2' per corporate standard.",,,
ssh_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
ssh_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
ssh_config_04,control_00006,SSH,High,FAIL,"'ip ssh authentication-retries' is set to '10', expected '3' per corporate standard.",,,
ssh_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
ssh_config_05,control_00006,SSH,High,FAIL,"'ip ssh time-out' is set to '300', expected '60' per corporate standard.",,,
ssh_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
syslog_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
syslog_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
syslog_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
syslog_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
syslog_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
tacacs_config_01,control_00004,TACACS,High,FAIL,Fewer than two 'tacacs server' definitions found.,,,
tacacs_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
tacacs_config_02,control_00004,TACACS,High,FAIL,No 'ip tacacs source-interface' configured under the TACACS server group.,,,
tacacs_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
tacacs_config_03,control_00004,TACACS,High,FAIL,'tacacs server ACME_TACACS_01': timeout '30' does not match the corporate standard '10'.,,,
tacacs_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
tacacs_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
tacacs_config_05,control_00004,TACACS,High,FAIL,"'aaa group server tacacs+ ACME_TACACS_SERVER_GROUP': references server 'ACME_TACACS_2', which has no matching 'tacacs server ACME_TACACS_2' definition.",,,
tacacs_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
vty_lines_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport input' is not restricted to secure protocols.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
vty_lines_config_02,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
vty_lines_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
vty_lines_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.,,,
vty_lines_config_05,control_00014,VTY Lines,High,FAIL,'line vty 0 15': 'login authentication default' is missing.; 'line vty 0 15': 'transport output' is not restricted to secure protocols.; 'line vty 0 15': 'access-class ACME_VTY_MGMT_ACL' is missing the required 'in' direction keyword.,,,
aaa_config_02,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
aaa_config_03,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
aaa_config_04,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
aaa_config_05,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
acl_vty_config_01,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
acl_vty_config_02,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
acl_vty_config_03,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
acl_vty_config_04,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
acl_vty_config_05,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
banner_config_01,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
banner_config_01,control_00012,Banners,Medium,FAIL,'banner motd' is not configured.,,,
banner_config_02,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
banner_config_03,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
banner_config_04,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
banner_config_05,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
banner_config_05,control_00012,Banners,Medium,FAIL,'banner motd' is not configured.,,,
domain_config_01,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
domain_config_02,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
domain_config_03,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
domain_config_04,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
domain_config_05,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
emergency_user_config_01,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
emergency_user_config_02,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
emergency_user_config_03,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
emergency_user_config_04,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
emergency_user_config_05,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
hostname_config_01,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
hostname_config_02,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
hostname_config_03,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
hostname_config_04,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
hostname_config_05,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
local_admin_config_01,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
local_admin_config_02,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
local_admin_config_03,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
local_admin_config_04,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
local_admin_config_05,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
ntp_config_01,control_00009,NTP,Medium,FAIL,NTP server configuration is missing.; NTP authentication is not configured ('ntp authenticate' / 'ntp authentication-key' / 'ntp trusted-key' missing).,,,
ntp_config_02,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.,,,
ntp_config_03,control_00009,NTP,Medium,FAIL,'prefer' keyword is missing on the primary NTP server.; 'ntp server 10.10.10.100': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
ntp_config_04,control_00009,NTP,Medium,FAIL,NTP authentication is not configured ('ntp authenticate' / 'ntp authentication-key' / 'ntp trusted-key' missing).,,,
ntp_config_05,control_00009,NTP,Medium,FAIL,'ntp trusted-key 2' does not match 'ntp authentication-key 1'.; 'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
password_encryption_config_01,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
password_encryption_config_02,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
password_encryption_config_03,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
password_encryption_config_04,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
password_encryption_config_05,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
password_policy_config_01,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
password_policy_config_02,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
password_policy_config_03,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
password_policy_config_04,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
password_policy_config_05,control_00009,NTP,Medium,FAIL,'ntp server 10.10.10.100 prefer': missing a 'key <id>' reference to the NTP authentication key.; 'ntp server 20.20.20.100': missing a 'key <id>' reference to the NTP authentication key.,,,
