device,control_id,title,severity,status,finding,owner,ticket,due_date
tacacs_config_03,control_00004,TACACS,High,FAIL,"'tacacs server ACME_TACACS_PRIMARY': server name does not match the corporate TACACS server name 'ACME_TACACS_01'.; 'aaa group server tacacs+ ACME_TACACS_SERVER_GROUP': references server 'ACME_TACACS_01', which has no matching 'tacacs server ACME_TACACS_01' definition.",,,
vty_lines_config_01,control_00014,VTY Lines,High,FAIL,'line vty 0 4': no 'access-class' ACL is bound to this VTY line.,,,
vty_lines_config_02,control_00014,VTY Lines,High,FAIL,'line vty 5 15': no 'access-class' ACL is bound to this VTY line.,,,
vty_lines_config_03,control_00014,VTY Lines,High,FAIL,'line vty 0 4': 'transport input' is not restricted to secure protocols.,,,
vty_lines_config_04,control_00014,VTY Lines,High,FAIL,'line vty 0 4': 'login authentication default' is missing.,,,
vty_lines_config_05,control_00014,VTY Lines,High,FAIL,'line vty 5 15': 'exec-timeout 0 0' disables session timeout entirely (sessions never expire).,,,
banner_config_01,control_00012,Banners,Medium,FAIL,'banner motd' is not configured.,,,
banner_config_04,control_00012,Banners,Medium,FAIL,'banner motd' is not configured.,,,
banner_config_05,control_00012,Banners,Medium,FAIL,'banner motd' opening delimiter '$' has no matching closing '$' - the banner is malformed/incomplete.,,,
ntp_config_01,control_00009,NTP,Medium,FAIL,"NTP server '10.10.10.200' does not match any corporate NTP server (['10.10.10.100', '20.20.20.100']).",,,
ntp_config_02,control_00009,NTP,Medium,FAIL,"NTP server '20.20.20.200' does not match any corporate NTP server (['10.10.10.100', '20.20.20.100']).",,,
ntp_config_03,control_00009,NTP,Medium,FAIL,NTP authentication is not configured ('ntp authenticate' / 'ntp authentication-key' / 'ntp trusted-key' missing).,,,
ntp_config_04,control_00009,NTP,Medium,FAIL,'ntp trusted-key 2' does not match 'ntp authentication-key 1'.,,,
ntp_config_05,control_00009,NTP,Medium,FAIL,"'ntp server 10.10.10.100 key 2 prefer': references key '2', expected '1'.",,,
syslog_config_01,control_00010,Syslog,Medium,FAIL,Logging host '30.30.30.200' does not match the corporate syslog server '30.30.30.100'.,,,
syslog_config_02,control_00010,Syslog,Medium,FAIL,'logging on' command is missing.,,,
syslog_config_03,control_00010,Syslog,Medium,FAIL,Logging trap level is not set to 'informational'.,,,
syslog_config_04,control_00010,Syslog,Medium,FAIL,'logging source-interface' ('source-interface loopback1') does not match the corporate standard ('source-interface loopback0').,,,
syslog_config_05,control_00010,Syslog,Medium,FAIL,Logging host IP address is missing.,,,
domain_config_01,control_00002,Domain,Low,FAIL,Domain 'name acme.net' does not match the corporate domain 'name acme.com'.,,,
domain_config_02,control_00002,Domain,Low,FAIL,No 'ip domain name' command found in device configuration.,,,
domain_config_03,control_00002,Domain,Low,FAIL,Domain 'acme.com' does not match the corporate domain 'name acme.com'.,,,
domain_config_04,control_00002,Domain,Low,FAIL,Domain 'name acme' does not match the corporate domain 'name acme.com'.,,,
domain_config_05,control_00002,Domain,Low,FAIL,Domain 'name acme.local' does not match the corporate domain 'name acme.com'.,,,
hostname_config_02,control_00001,Hostname,Low,FAIL,No 'hostname' command found in device configuration.,,,
hostname_config_05,control_00001,Hostname,Low,FAIL,Hostname 'ACME-USA-RT-INT-GOLDEN-01' does not follow the COMPANY_COUNTRY_TYPE_FUNCTION_SITE_DEVICENUMBER convention (expected at least 6 underscore-separated parts).,,,
