filename,control_under_test,variant,expected_finding
ntp_config_01.txt,ntp_config,1/5 - All NTP configuration missing,No 'ntp server' or authentication commands present at all
ntp_config_02.txt,ntp_config,2/5 - Secondary NTP server missing (single point of failure),Only one NTP server ('10.10.10.100') configured; no secondary source
ntp_config_03.txt,ntp_config,3/5 - 'prefer' keyword missing on primary NTP server,Primary NTP server lacks the 'prefer' keyword
ntp_config_04.txt,ntp_config,4/5 - 'ntp authenticate' global command missing,"Authentication key and trusted-key are defined but 'ntp authenticate' is not enabled, so authentication is not actually enforced"
ntp_config_05.txt,ntp_config,5/5 - Trusted-key ID mismatch (2 vs authentication-key 1),'ntp trusted-key 2' does not match the configured 'ntp authentication-key 1'
password_encryption_config_01.txt,password_encryption_config,1/5 - AES master key and 'password encryption aes' both missing,No 'key config-key password-encrypt' or 'password encryption aes' present; secrets fall back to weak Type-7/cleartext
password_encryption_config_02.txt,password_encryption_config,2/5 - Master key command missing (AES enabled with no key),'password encryption aes' enabled but no 'key config-key password-encrypt' defined
password_encryption_config_03.txt,password_encryption_config,3/5 - 'password encryption aes' line missing,"Master key is configured but 'password encryption aes' is not enabled, so Type-6 encryption never activates"
password_encryption_config_04.txt,password_encryption_config,4/5 - Weak/guessable AES master key value,AES master key set to a trivially weak value ('111111')
password_encryption_config_05.txt,password_encryption_config,5/5 - Command keyword typo ('password-encryption' vs 'password-encrypt'),"Master key command misspelled as 'password-encryption', which IOS-XE will reject"
password_policy_config_01.txt,password_policy_config,1/5 - Password min-length and encryption service both missing,Neither 'security passwords min-length' nor 'service password-encryption' present
password_policy_config_02.txt,password_policy_config,2/5 - Minimum password length far below policy (4 vs 10),'security passwords min-length' set to 4 instead of the required 10
password_policy_config_03.txt,password_policy_config,3/5 - Minimum password length one below threshold (9 vs 10),"'security passwords min-length' set to 9, just below the required minimum of 10"
password_policy_config_04.txt,password_policy_config,4/5 - Minimum length command missing (encryption service still present),'security passwords min-length' absent even though 'service password-encryption' is set
password_policy_config_05.txt,password_policy_config,5/5 - Command keyword typo ('password' instead of 'passwords'),'security password min-length' misspelled (singular) and will be rejected by IOS-XE
snmp_config_01.txt,snmp_config,1/5 - Insecure SNMPv2c with default community string used instead of v3,Configuration uses SNMPv2c with community 'public' instead of the required SNMPv3 auth+priv setup
snmp_config_02.txt,snmp_config,2/5 - 'snmp-server enable traps' missing,"Traps are never enabled globally, so no SNMP notifications are sent"
snmp_config_03.txt,snmp_config,"3/5 - SNMPv3 group missing 'priv' (auth only, no encryption)","'snmp-server group ... v3 auth' configured without 'priv', leaving traffic unencrypted"
snmp_config_04.txt,snmp_config,4/5 - SNMP user references mismatched group name (typo),"'snmp-server user' references group 'acme_snmp_group01', which does not match the defined group 'acme_snmp_grp01'"
snmp_config_05.txt,snmp_config,5/5 - Weak privacy cipher (DES instead of AES-128),SNMPv3 user configured with 'priv des' instead of the required 'priv aes 128'
ssh_config_01.txt,ssh_config,1/5 - RSA key generation command missing,"'crypto key generate rsa modulus 2048' absent, SSH cannot function"
ssh_config_02.txt,ssh_config,2/5 - Insecure SSH version 1 enabled,'ip ssh version 1' configured instead of the required version 2
ssh_config_03.txt,ssh_config,3/5 - RSA modulus below minimum (1024 vs 2048),RSA key modulus set to 1024 bits instead of the required 2048
ssh_config_04.txt,ssh_config,4/5 - Authentication retries too permissive (10 vs 3),'ip ssh authentication-retries' set to 10 instead of the policy value of 3
ssh_config_05.txt,ssh_config,5/5 - SSH timeout too high (300s vs 60s),'ip ssh time-out' set to 300 seconds instead of the standard 60
syslog_config_01.txt,syslog_config,1/5 - All syslog configuration missing,No 'logging on' or 'logging host' commands present at all
syslog_config_02.txt,syslog_config,2/5 - Syslog host missing (local-only logging),'logging host' absent; events are not forwarded to a central syslog server
syslog_config_03.txt,syslog_config,3/5 - Trap level too restrictive (critical vs informational),"'logging trap critical' set instead of the required 'informational' level, causing lower-severity events to be dropped"
syslog_config_04.txt,syslog_config,4/5 - Wrong source-interface for logging (physical vs Loopback0),'logging source-interface' set to a physical interface instead of the stable 'Loopback0'
syslog_config_05.txt,syslog_config,5/5 - Syslog server IP typo (.101 vs .100),"'logging host' points to 30.30.30.101, a typo of the correct '30.30.30.100'"
tacacs_config_01.txt,tacacs_config,1/5 - Secondary TACACS server entirely missing,Only one TACACS server defined; no redundancy for AAA services
tacacs_config_02.txt,tacacs_config,2/5 - Missing 'ip tacacs source-interface' in server group,'ip tacacs source-interface' line absent from the TACACS server group
tacacs_config_03.txt,tacacs_config,3/5 - Non-standard timeout on primary TACACS server (30s vs 10s),Primary TACACS server timeout set to 30 seconds instead of the standard 10
tacacs_config_04.txt,tacacs_config,4/5 - Cleartext key type (type 0) on primary TACACS server,Primary TACACS server key uses type 0 (cleartext) instead of type 6 (encrypted)
tacacs_config_05.txt,tacacs_config,5/5 - Server-group reference typo ('ACME_TACACS_2' vs 'ACME_TACACS_02'),"Server group references 'ACME_TACACS_2', which does not match the defined 'ACME_TACACS_02' tacacs server object"
vty_lines_config_01.txt,vty_lines_config,1/5 - Telnet allowed alongside SSH on VTY lines,'transport input ssh telnet' permits insecure Telnet access on VTY lines
vty_lines_config_02.txt,vty_lines_config,2/5 - VTY/console exec-timeout disabled (sessions never expire),'exec-timeout 0 0' disables session timeout entirely on console and VTY lines
vty_lines_config_03.txt,vty_lines_config,3/5 - 'login local' replaced with bare 'login' on VTY lines,"VTY lines use plain 'login' with only a line password instead of 'login local', bypassing per-user AAA authentication"
vty_lines_config_04.txt,vty_lines_config,4/5 - Exec-timeout longer than policy (20 min vs 10 min),'exec-timeout 20 0' exceeds the 10-minute policy standard
vty_lines_config_05.txt,vty_lines_config,5/5 - Access-class applied without direction keyword ('in' missing),"'access-class ACME_VTY_MGMT_ACL' is missing the 'in' keyword, which IOS-XE requires"
